Age Group,Gender,Education,Monthly Income,City,Employment Status,Shopping Frequency,Avg Spend per Visit,Preferred Payment,Product Categories,Offer Sensitivity,Local vs Intl Brands,Preferred Shopping Time,Loyalty Program Member,Loyalty Usage Frequency,Satisfaction Score (1-10),Would Recommend,Preferred Rewards,Suggested Improvement,Willing to Try New Service,Willingness to Pay (custom services),Switch for Better Tech,Shopping Challenges,Importance Scores,Loyalty Features Desired
46–60,Female,Doctorate,10k–30k,City C,Student,Weekly,380.21,UPI,"Frozen Foods, Household Supplies",Slightly,Sometimes,Afternoon,Yes,Never,5,Yes,"Points, Cashback",Better variety,Maybe,160.48,Yes,"Price inconsistency, Product unavailability","4,4,2,5,4",More Points
26–35,Prefer not to say,Master's,30k–50k,City D,Employed,Monthly,499.67,UPI,"Frozen Foods, Fresh Produce, Beverages",Moderately,Never,Morning,Yes,Rarely,7,Yes,"Priority Checkout, Cashback",Faster billing,Maybe,149.8,Yes,"Poor customer service, Lack of variety, Product unavailability","5,4,4,5,3",Cashback
46–60,Male,Master's,>100k,City A,Self-employed,Bi-weekly,436.03,Mobile Wallet,Snacks,Strongly,Sometimes,Afternoon,No,Always,8,Yes,"Cashback, Free Products",Better variety,No,19.81,No,"Lack of variety, Long queues, Product unavailability","5,3,3,3,3",Instant Discounts
18–25,Female,Bachelor's,30k–50k,City D,Employed,Bi-weekly,458.71,UPI,Frozen Foods,Moderately,Never,Night,No,Always,6,Yes,"Points, Free Products",More offers,Yes,219.96,Yes,Price inconsistency,"5,5,4,1,5",Cashback
18–25,Male,Bachelor's,<10k,City A,Employed,Bi-weekly,455.06,Mobile Wallet,Dairy,Strongly,Always,Afternoon,Yes,Sometimes,5,Yes,"Priority Checkout, Points",Improved customer service,Yes,97.36,Yes,"Long queues, Poor customer service","5,4,3,5,5",Instant Discounts
18–25,Male,Master's,<10k,City D,Self-employed,Monthly,382.41,UPI,Dairy,Not at all,Sometimes,Night,Yes,Sometimes,8,Yes,"Cashback, Priority Checkout",More offers,Yes,179.73,Depends,"Product unavailability, Price inconsistency, Long queues","3,4,3,1,3",Cashback
26–35,Female,Bachelor's,>100k,City D,Employed,Monthly,265.12,Credit Card,"Household Supplies, Beverages",Moderately,Always,Afternoon,No,Rarely,1,Maybe,"Points, Priority Checkout",Improved customer service,Yes,99.84,Yes,"Poor customer service, Lack of variety","3,5,2,5,3",Instant Discounts
26–35,Female,High school,10k–30k,City B,Unemployed,Weekly,419.82,UPI,"Beverages, Fresh Produce, Frozen Foods",Moderately,Always,Afternoon,Yes,Sometimes,1,Yes,"Cashback, Priority Checkout",Improved customer service,Yes,88.01,Yes,"Price inconsistency, Poor customer service, Long queues","5,5,4,3,5",Cashback
26–35,Prefer not to say,Bachelor's,<10k,City A,Unemployed,Weekly,523.21,Mobile Wallet,Household Supplies,Moderately,Never,Night,Yes,Sometimes,1,No,"Points, Free Products",Faster billing,Yes,115.26,Depends,"Lack of variety, Product unavailability","3,3,5,3,3",More Points
46–60,Female,Master's,30k–50k,City D,Employed,Bi-weekly,338.22,UPI,"Fresh Produce, Snacks, Beverages",Strongly,Never,Afternoon,Yes,Never,3,Yes,"Free Products, Priority Checkout",Faster billing,Yes,247.3,Yes,Long queues,"5,4,2,5,3",More Points
26–35,Male,Bachelor's,30k–50k,City B,Employed,Bi-weekly,501.88,Mobile Wallet,"Fresh Produce, Beverages",Strongly,Sometimes,Night,Yes,Sometimes,10,Yes,"Points, Exclusive Discounts",Better variety,No,240.78,Yes,"Lack of variety, Poor customer service, Price inconsistency","3,3,2,1,3",Personalized Offers
26–35,Male,High school,30k–50k,City D,Homemaker,Weekly,728.03,Mobile Wallet,"Dairy, Snacks",Strongly,Never,Night,No,Sometimes,6,Yes,"Free Products, Exclusive Discounts",More offers,Maybe,87.93,No,"Price inconsistency, Product unavailability","5,5,4,4,4",Instant Discounts
26–35,Female,Master's,10k–30k,City A,Student,Monthly,622.77,UPI,"Beverages, Fresh Produce, Dairy",Slightly,Sometimes,Night,Yes,Rarely,6,Yes,"Exclusive Discounts, Cashback",More offers,Yes,194.84,Depends,"Price inconsistency, Poor customer service","3,5,4,1,3",Personalized Offers
18–25,Male,Bachelor's,<10k,City A,Employed,Bi-weekly,697.22,UPI,"Beverages, Fresh Produce",Moderately,Always,Morning,No,Rarely,5,No,"Cashback, Free Products",More offers,No,121.4,Depends,"Poor customer service, Lack of variety, Price inconsistency","4,4,2,2,5",Personalized Offers
46–60,Male,Bachelor's,>100k,City D,Employed,Weekly,546.94,Mobile Wallet,"Snacks, Beverages",Moderately,Sometimes,Afternoon,No,Rarely,7,Maybe,"Cashback, Free Products",Better variety,Yes,241.1,Yes,"Long queues, Price inconsistency","4,5,3,2,3",Instant Discounts
18–25,Male,High school,10k–30k,City C,Unemployed,Weekly,640.1,Credit Card,"Fresh Produce, Snacks, Household Supplies",Moderately,Never,Night,No,Rarely,5,Maybe,"Exclusive Discounts, Cashback",More offers,No,189.17,No,Long queues,"3,5,2,1,3",Personalized Offers
60+,Male,Bachelor's,30k–50k,City D,Student,Weekly,413.12,Mobile Wallet,"Fresh Produce, Snacks, Frozen Foods",Strongly,Always,Evening,Yes,Sometimes,2,No,"Points, Priority Checkout",Faster billing,Maybe,136.74,No,"Price inconsistency, Poor customer service, Lack of variety","5,4,4,1,3",Instant Discounts
36–45,Male,Master's,30k–50k,City B,Self-employed,Rarely,422.68,Others,"Dairy, Beverages, Frozen Foods",Slightly,Never,Evening,Yes,Sometimes,4,Maybe,"Exclusive Discounts, Cashback",Better variety,Yes,124.88,Yes,"Price inconsistency, Long queues","3,5,3,3,5",Instant Discounts
18–25,Male,Bachelor's,30k–50k,City C,Homemaker,Weekly,171.3,UPI,"Fresh Produce, Dairy, Beverages",Moderately,Sometimes,Morning,Yes,Always,1,Maybe,"Free Products, Cashback",More offers,Yes,156.5,Yes,"Lack of variety, Poor customer service, Price inconsistency","4,3,4,2,3",Instant Discounts
18–25,Male,Bachelor's,10k–30k,City C,Employed,Weekly,642.34,UPI,Dairy,Moderately,Never,Afternoon,Yes,Rarely,7,Maybe,"Cashback, Free Products",More offers,Yes,149.01,No,"Lack of variety, Poor customer service","4,4,3,3,5",More Points
46–60,Male,Doctorate,10k–30k,City C,Student,Bi-weekly,684.84,Cash,"Beverages, Household Supplies",Strongly,Sometimes,Evening,No,Sometimes,4,Yes,"Exclusive Discounts, Points",Improved customer service,No,53.84,Yes,"Poor customer service, Long queues, Product unavailability","4,4,5,1,4",More Points
36–45,Prefer not to say,Doctorate,30k–50k,City C,Unemployed,Weekly,433.62,Mobile Wallet,"Beverages, Fresh Produce",Strongly,Sometimes,Afternoon,No,Always,4,Yes,"Priority Checkout, Cashback",Better variety,No,132.47,Yes,"Price inconsistency, Long queues, Poor customer service","3,4,2,3,4",Instant Discounts
36–45,Male,Doctorate,50k–100k,City C,Employed,Daily,469.53,Mobile Wallet,"Household Supplies, Snacks, Frozen Foods",Moderately,Sometimes,Morning,No,Never,4,Maybe,"Cashback, Points",Faster billing,Yes,80.9,Yes,"Lack of variety, Price inconsistency, Long queues","3,5,5,3,4",Instant Discounts
36–45,Male,Bachelor's,50k–100k,City B,Self-employed,Weekly,409.54,UPI,"Household Supplies, Frozen Foods",Not at all,Sometimes,Morning,Yes,Sometimes,3,Yes,"Priority Checkout, Points",More offers,Yes,88.22,Yes,"Lack of variety, Price inconsistency, Long queues","3,3,5,5,5",More Points
18–25,Female,Bachelor's,10k–30k,City B,Employed,Bi-weekly,545.92,Cash,"Frozen Foods, Snacks",Moderately,Sometimes,Morning,Yes,Always,8,No,"Cashback, Points",Better variety,Maybe,186.87,Yes,"Product unavailability, Lack of variety","3,5,2,3,4",Cashback
26–35,Male,Other,10k–30k,City D,Employed,Bi-weekly,634.99,UPI,Fresh Produce,Moderately,Never,Night,Yes,Sometimes,4,Yes,"Priority Checkout, Points",More offers,Yes,132.22,Yes,Long queues,"5,3,4,5,4",More Points
18–25,Female,Master's,50k–100k,City A,Employed,Weekly,290.87,Mobile Wallet,"Fresh Produce, Dairy",Strongly,Never,Evening,No,Sometimes,8,No,"Free Products, Cashback",Improved customer service,Yes,92.73,Yes,"Price inconsistency, Lack of variety, Product unavailability","5,4,5,3,4",Personalized Offers
46–60,Female,High school,30k–50k,City C,Student,Weekly,549.13,Credit Card,"Frozen Foods, Dairy",Moderately,Always,Morning,Yes,Sometimes,9,Yes,"Points, Priority Checkout",Better variety,Maybe,47.29,Depends,"Lack of variety, Product unavailability, Long queues","4,5,4,5,4",Cashback
36–45,Male,High school,50k–100k,City A,Student,Rarely,466.8,Credit Card,"Snacks, Fresh Produce",Moderately,Always,Morning,Yes,Always,1,Yes,"Exclusive Discounts, Points",Improved customer service,Yes,73.44,Yes,"Price inconsistency, Lack of variety, Product unavailability","5,5,3,3,5",Instant Discounts
26–35,Male,Bachelor's,10k–30k,City C,Retired,Weekly,513.61,Credit Card,"Dairy, Household Supplies",Moderately,Sometimes,Evening,Yes,Always,4,Yes,"Points, Free Products",Improved customer service,Maybe,116.43,Yes,Poor customer service,"5,5,4,1,4",Personalized Offers
18–25,Female,Doctorate,30k–50k,City C,Employed,Weekly,555.08,Mobile Wallet,"Dairy, Beverages",Moderately,Sometimes,Afternoon,No,Sometimes,6,No,"Free Products, Exclusive Discounts",Faster billing,Maybe,221.15,Depends,"Long queues, Lack of variety","4,4,2,5,4",More Points
26–35,Female,Bachelor's,30k–50k,City A,Employed,Weekly,477.42,Cash,"Household Supplies, Fresh Produce",Strongly,Sometimes,Night,No,Sometimes,8,Yes,"Free Products, Points",Better variety,Yes,57.06,Depends,Product unavailability,"4,4,4,4,3",Personalized Offers
26–35,Male,Bachelor's,30k–50k,City A,Employed,Bi-weekly,487.57,Credit Card,"Household Supplies, Dairy",Not at all,Always,Night,No,Always,6,Maybe,"Points, Free Products",Improved customer service,No,137.69,Yes,Lack of variety,"3,5,2,1,5",Personalized Offers
36–45,Female,High school,30k–50k,City A,Homemaker,Monthly,474.33,UPI,Beverages,Moderately,Sometimes,Night,No,Sometimes,6,Maybe,"Points, Free Products",Better variety,No,144.43,Yes,Long queues,"4,3,3,5,4",More Points
36–45,Male,Master's,<10k,City C,Student,Weekly,616.44,Cash,Household Supplies,Strongly,Sometimes,Evening,Yes,Sometimes,10,Yes,"Cashback, Priority Checkout",More offers,Maybe,193.36,No,"Product unavailability, Long queues, Price inconsistency","5,5,5,4,3",Cashback
46–60,Prefer not to say,Master's,30k–50k,City D,Self-employed,Monthly,550.25,Credit Card,"Dairy, Household Supplies, Frozen Foods",Slightly,Sometimes,Afternoon,Yes,Always,4,No,"Exclusive Discounts, Cashback",Faster billing,Yes,127.49,Depends,Lack of variety,"3,4,4,2,5",Cashback
26–35,Male,Bachelor's,10k–30k,City A,Student,Daily,526.47,Mobile Wallet,Snacks,Strongly,Sometimes,Evening,Yes,Rarely,9,Yes,"Exclusive Discounts, Priority Checkout",More offers,Maybe,144.48,Yes,Product unavailability,"4,4,5,2,3",More Points
18–25,Female,Master's,30k–50k,City C,Student,Weekly,347.49,Mobile Wallet,"Beverages, Frozen Foods, Fresh Produce",Moderately,Sometimes,Morning,Yes,Rarely,7,Maybe,"Points, Exclusive Discounts",Better variety,Maybe,190.93,Yes,"Product unavailability, Lack of variety, Long queues","5,3,2,2,5",Personalized Offers
36–45,Female,Other,>100k,City B,Student,Monthly,454.57,UPI,"Fresh Produce, Frozen Foods",Moderately,Always,Morning,No,Sometimes,6,Yes,"Exclusive Discounts, Cashback",Better variety,Maybe,73.38,Depends,"Poor customer service, Product unavailability","3,4,5,4,5",More Points
36–45,Female,Bachelor's,10k–30k,City B,Retired,Weekly,607.84,Credit Card,Snacks,Not at all,Sometimes,Morning,Yes,Always,1,Yes,"Cashback, Points",Improved customer service,Maybe,167.47,Yes,Lack of variety,"3,4,2,3,3",Personalized Offers
